ticker,caps_count,lower_count,caps_share,zipf,decided_by,classification
ACWX,0,0,,0.0,wordfreq,normal
ACXP,3,0,1.0,0.0,wordfreq,normal
ACYN,0,0,,0.0,wordfreq,normal
ACYQ,0,0,,0.0,wordfreq,normal
ACYS,0,0,,0.0,wordfreq,normal
ADAC,2,0,1.0,1.95,wordfreq,normal
ADACU,0,0,,0.0,wordfreq,normal
ADACW,0,0,,0.0,wordfreq,normal
ADAG,0,0,,0.0,wordfreq,normal
ADAM,1,109,0.009,4.57,case_ratio,cashtag_only
ADAMG,0,0,,0.0,wordfreq,normal
ADAMH,0,0,,0.0,wordfreq,normal
ADAMI,0,0,,1.85,wordfreq,normal
ADAML,0,0,,0.0,wordfreq,normal
ADAMM,0,0,,0.0,wordfreq,normal
ADAMN,0,0,,0.0,wordfreq,normal
ADAMO,0,0,,1.99,wordfreq,normal
ADAMZ,0,0,,0.0,wordfreq,normal
ADBE,63,3,0.955,1.05,case_ratio,normal
ADBG,0,0,,0.0,wordfreq,normal
ADBU,0,0,,0.0,wordfreq,normal
ADCT,2,0,1.0,0.0,wordfreq,normal
ADDS,3,455,0.007,4.38,case_ratio,cashtag_only
ADEA,0,0,,1.59,wordfreq,normal
ADFI,0,0,,0.0,wordfreq,normal
ADGM,0,0,,0.0,wordfreq,normal
ADIL,4,0,1.0,2.56,wordfreq,normal
ADIU,0,0,,0.0,wordfreq,normal
ADIV,0,0,,0.0,wordfreq,normal
ADMA,19,1,0.95,1.47,wordfreq,normal
ADME,0,0,,1.36,wordfreq,normal
ADNT,3,0,1.0,0.0,wordfreq,normal
ADPT,2,0,1.0,0.0,wordfreq,normal
ADPV,0,0,,0.0,wordfreq,normal
ADSE,2,0,1.0,0.0,wordfreq,normal
ADSEW,0,0,,0.0,wordfreq,normal
ADSK,14,0,1.0,0.0,wordfreq,normal
ADTN,2,0,1.0,0.0,wordfreq,normal
ADUR,1,0,1.0,1.38,wordfreq,normal
ADUS,1,0,1.0,1.26,wordfreq,normal
ADVB,0,0,,0.0,wordfreq,normal
ADVE,0,0,,1.13,wordfreq,normal
ADXN,0,0,,0.0,wordfreq,normal
AEAQ,0,0,,0.0,wordfreq,normal
AEAQU,0,0,,0.0,wordfreq,normal
AEAQW,0,0,,0.0,wordfreq,normal
AEBI,0,0,,1.15,wordfreq,normal
AEFC,0,0,,0.0,wordfreq,normal
AEHG,0,0,,0.0,wordfreq,normal
AEHL,2,1,0.667,0.0,wordfreq,normal
AEHR,8,0,1.0,0.0,wordfreq,normal
AEIS,5,0,1.0,0.0,wordfreq,normal
AEMD,5,0,1.0,0.0,wordfreq,normal
AEMS,0,0,,0.0,wordfreq,normal
AENT,0,0,,0.0,wordfreq,normal
AENTW,0,0,,0.0,wordfreq,normal
AEON,7,15,0.318,2.64,wordfreq,normal
AERO,1,7,0.125,3.33,wordfreq,normal
AERT,0,0,,1.22,wordfreq,normal
AERTW,0,0,,0.0,wordfreq,normal
AESI,0,0,,0.0,wordfreq,normal
AESP,0,0,,0.0,wordfreq,normal
AESPR,0,0,,0.0,wordfreq,normal
AESPU,0,0,,0.0,wordfreq,normal
AESPW,0,0,,0.0,wordfreq,normal
AESR,0,0,,0.0,wordfreq,normal
AETH,1,4,0.2,1.05,wordfreq,normal
AEVA,2,1,0.667,0.0,wordfreq,normal
AEXA,0,0,,0.0,wordfreq,normal
AEYE,1,1,0.5,0.0,wordfreq,normal
AFBI,0,0,,0.0,wordfreq,normal
AFCG,2,0,1.0,0.0,wordfreq,normal
AFGB,0,0,,0.0,wordfreq,normal
AFGC,0,0,,0.0,wordfreq,normal
AFGD,0,0,,0.0,wordfreq,normal
AFGE,0,0,,1.85,wordfreq,normal
AFGR,0,0,,0.0,wordfreq,normal
AFIF,0,0,,1.61,wordfreq,normal
AFIX,0,0,,0.0,wordfreq,normal
AFJK,0,0,,0.0,wordfreq,normal
AFJKR,0,0,,0.0,wordfreq,normal
AFJKU,0,0,,0.0,wordfreq,normal
AFLG,0,0,,0.0,wordfreq,normal
AFMC,0,0,,1.24,wordfreq,normal
AFOS,0,0,,1.36,wordfreq,normal
AFRI,0,2,0.0,1.85,wordfreq,normal
AFRIW,0,0,,0.0,wordfreq,normal
AFRM,24,0,1.0,0.0,wordfreq,normal
AFRU,0,0,,0.0,wordfreq,normal
AFSC,1,0,1.0,1.95,wordfreq,normal
AFSM,0,0,,0.0,wordfreq,normal
AFYA,0,0,,0.0,wordfreq,normal
AGBK,0,0,,0.0,wordfreq,normal
AGCC,0,0,,1.07,wordfreq,normal
